id,ccode,country,leader,age,tstart,tstop,group,survival_days,status,GDP_trend,GDP_pc,pop_log,polity5,violence
29,115,Suriname,Bouterse,37,1983,1984,B,2721,0,0.9596914274036988,7.514,3.6464676548568975,-6,0
29,115,Suriname,Bouterse,38,1984,1985,B,2721,0,0.9609562989986804,7.428,3.6510737393780373,-6,0
29,115,Suriname,Bouterse,39,1985,1986,B,2721,0,0.9826582012803022,7.491,3.6705372598660717,-6,0
29,115,Suriname,Bouterse,40,1986,1987,B,2721,0,0.9793773599852129,7.418,3.6819051903766,-6,1
29,115,Suriname,Bouterse,41,1987,1988,B,2721,0,0.9557902034503906,7.169,3.694563270582234,-1,1
30,130,Ecuador,Velasco Ibarra,53,1946,1947,B,1179,1,1.1083442551332459,2.537,5.727212501903159,-1,0
31,130,Ecuador,Arosemana Tola,53,1947,1948,B,339,0,1.136248308525034,2.687,5.753800456177888,-1,0
32,130,Ecuador,Arosemena Monroy,42,1961,1962,B,611,0,1.0554910855575483,4.002,6.210828966490111,1,0
32,130,Ecuador,Arosemena Monroy,43,1962,1963,B,611,1,1.051211539459347,4.052,6.241869117148943,1,0
33,130,Ecuador,Castro,48,1963,1964,B,992,0,1.045461503137915,4.098,6.266788699037114,-6,0
33,130,Ecuador,Castro,49,1964,1965,B,992,0,1.0479462360198606,4.179,6.299206566687531,-6,0
33,130,Ecuador,Castro,50,1965,1966,B,992,1,1.0513465522343888,4.263,6.329064718799771,-6,0
34,130,Ecuador,Rodriguez Lara,49,1972,1973,B,1426,0,1.0878378378378377,4.991,6.5220854452019426,-5,0
34,130,Ecuador,Rodriguez Lara,50,1973,1974,B,1426,0,1.1259347382732834,5.3,6.554272377906704,-5,0
34,130,Ecuador,Rodriguez Lara,51,1974,1975,B,1426,0,1.1730421934000985,5.716,6.588908595668,-5,0
34,130,Ecuador,Rodriguez Lara,52,1975,1976,B,1426,1,1.18747306984214,6.063,6.619078044854527,-5,0
35,130,Ecuador,Poveda Burbano,50,1976,1977,B,1307,0,1.1867147423983346,6.385,6.650009930877853,-5,0
35,130,Ecuador,Poveda Burbano,51,1977,1978,B,1307,0,1.1505886487436303,6.548,6.674888358556994,-5,0
35,130,Ecuador,Poveda Burbano,52,1978,1979,B,1307,0,1.1185525789684128,6.714,6.699830334968485,-5,0
36,130,Ecuador,Rafael Correa,52,2015,2016,A,860,0,1.0512132141978852,10.259,7.447549628015872,5,0
36,130,Ecuador,Rafael Correa,53,2016,2017,A,860,0,1.0049117482629184,10.066,7.462306836751735,5,0
37,135,Peru,Odria,51,1948,1949,B,580,0,1.0439959343691012,2.876,6.660884960998182,-6,0
37,135,Peru,Odria,52,1949,1950,B,580,0,1.0424255410327834,2.919,6.674971661177794,-6,0
38,135,Peru,Belaunde,50,1963,1964,B,1894,0,1.131480551370054,4.055,7.042879527338138,5,0
38,135,Peru,Belaunde,51,1964,1965,B,1894,0,1.1326218694696197,4.224,7.071374702713939,5,0
38,135,Peru,Belaunde,52,1965,1966,B,1894,0,1.122108826093646,4.376,7.099166235077917,5,0
38,135,Peru,Belaunde,53,1966,1967,B,1894,0,1.1139832594780896,4.525,7.130207391307494,5,0
38,135,Peru,Belaunde,54,1967,1968,B,1894,1,1.0904910883579826,4.601,7.1582283534241435,5,0
39,135,Peru,Velasco Alvarado,58,1968,1969,B,2521,0,1.0513750516505211,4.58,7.18565591881664,-7,0
39,135,Peru,Velasco Alvarado,59,1969,1970,B,2521,0,1.037164888370842,4.627,7.213858142080505,-7,0
39,135,Peru,Velasco Alvarado,60,1970,1971,B,2521,0,1.0462812100929146,4.752,7.241811026816144,-7,0
39,135,Peru,Velasco Alvarado,61,1971,1972,B,2521,0,1.0472168074507255,4.835,7.268970301151065,-7,0
39,135,Peru,Velasco Alvarado,62,1972,1973,B,2521,0,1.0450951057918358,4.89,7.29563330366325,-7,0
39,135,Peru,Velasco Alvarado,63,1973,1974,B,2521,0,1.0640094578618478,5.04,7.327802877199714,-7,0
39,135,Peru,Velasco Alvarado,64,1974,1975,B,2521,1,1.0799784625579854,5.215,7.358638523151535,-7,0
40,135,Peru,Morales Bermudez,54,1975,1976,B,1794,0,1.0636018114184054,5.261,7.380846013212031,-7,0
40,135,Peru,Morales Bermudez,55,1976,1977,B,1794,0,1.0379937403430928,5.24,7.4072357896382695,-7,0
40,135,Peru,Morales Bermudez,56,1977,1978,B,1794,0,0.9997660453871949,5.128,7.428990138189467,-7,0
40,135,Peru,Morales Bermudez,57,1978,1979,B,1794,0,0.9789831556173697,5.068,7.455209991310867,7,0
40,135,Peru,Morales Bermudez,58,1979,1980,B,1794,0,0.9949058351343005,5.156,7.4835733833305165,7,0
41,140,Brazil,Dutra,61,1946,1947,B,1826,0,1.0861823361823362,1.83,8.523589292679857,7,0
