"","ccode","year","coup","pre_coups","time_since_last_coup","coup_dummy"
"252",780,1952,0,0,2,0
"253",790,1952,0,0,2,0
"254",800,1952,0,1,1,1
"255",840,1952,0,0,2,0
"256",850,1952,0,0,2,0
"257",900,1952,0,0,2,0
"258",920,1952,0,0,2,0
"259",2,1953,0,0,3,0
"260",20,1953,0,0,3,0
"261",40,1953,0,1,1,1
"262",41,1953,0,1,3,1
"263",42,1953,0,0,3,0
"264",70,1953,0,0,3,0
"265",90,1953,0,0,3,0
"266",91,1953,0,0,3,0
"267",92,1953,0,0,3,0
"268",93,1953,0,0,3,0
"269",94,1953,0,0,3,0
"270",95,1953,0,1,2,1
"271",100,1953,2,0,3,0
"272",101,1953,0,1,1,1
"273",130,1953,0,1,1,1
"274",135,1953,0,0,3,0
"275",140,1953,0,0,3,0
"276",145,1953,1,3,1,1
"277",150,1953,0,0,3,0
"278",155,1953,0,0,3,0
"279",160,1953,0,1,2,1
"280",165,1953,0,0,3,0
"281",200,1953,0,0,3,0
"282",205,1953,0,0,3,0
"283",210,1953,0,0,3,0
"284",211,1953,0,0,3,0
"285",212,1953,0,0,3,0
"286",220,1953,0,0,3,0
"287",221,1953,0,0,3,0
"288",223,1953,0,0,3,0
"289",225,1953,0,0,3,0
"290",230,1953,0,0,3,0
"291",232,1953,0,0,3,0
"292",235,1953,0,0,3,0
"293",260,1953,0,0,3,0
"294",265,1953,0,0,3,0
"295",290,1953,0,0,3,0
"296",305,1953,0,0,3,0
"297",310,1953,0,0,3,0
"298",315,1953,0,0,3,0
"299",325,1953,0,0,3,0
"300",331,1953,0,0,3,0
"301",339,1953,0,0,3,0
"302",345,1953,0,0,3,0
"303",350,1953,0,0,3,0
"304",355,1953,0,0,3,0
"305",360,1953,0,0,3,0
"306",365,1953,0,0,3,0
"307",375,1953,0,0,3,0
"308",380,1953,0,0,3,0
"309",385,1953,0,0,3,0
"310",390,1953,0,0,3,0
"311",395,1953,0,0,3,0
"312",450,1953,0,0,3,0
"313",530,1953,0,0,3,0
"314",560,1953,0,0,3,0
"315",620,1953,0,0,2,0
"316",630,1953,2,0,3,0
"317",640,1953,0,0,3,0
"318",645,1953,0,0,3,0
"319",651,1953,0,1,1,1
"320",652,1953,0,1,2,1
"321",660,1953,0,0,3,0
"322",663,1953,0,0,3,0
"323",666,1953,0,0,3,0
"324",670,1953,0,0,3,0
"325",678,1953,0,0,3,0
"326",698,1953,0,0,3,0
"327",700,1953,0,0,3,0
"328",710,1953,0,0,3,0
"329",712,1953,0,0,3,0
"330",713,1953,0,0,3,0
"331",731,1953,0,0,3,0
"332",732,1953,0,0,3,0
"333",740,1953,0,0,3,0
"334",750,1953,0,0,3,0
"335",760,1953,0,0,3,0
"336",770,1953,0,0,3,0
"337",775,1953,0,0,3,0
"338",780,1953,0,0,3,0
"339",790,1953,0,0,3,0
"340",800,1953,0,1,2,1
"341",811,1953,0,0,0,0
"342",840,1953,0,0,3,0
"343",850,1953,0,0,3,0
"344",900,1953,0,0,3,0
"345",920,1953,0,0,3,0
"346",2,1954,0,0,4,0
"347",20,1954,0,0,4,0
"348",40,1954,0,1,2,1
"349",41,1954,0,1,4,1
"350",42,1954,0,0,4,0
"351",70,1954,0,0,4,0
"352",90,1954,2,0,4,0
"353",91,1954,0,0,4,0
"354",92,1954,0,0,4,0
"355",93,1954,0,0,4,0
"356",94,1954,0,0,4,0
"357",95,1954,0,1,3,1
"358",100,1954,0,1,1,1
"359",101,1954,0,1,2,1
"360",130,1954,1,1,2,1
"361",135,1954,1,0,4,0
"362",140,1954,0,0,4,0
"363",145,1954,0,4,1,1
"364",150,1954,2,0,4,0
"365",155,1954,0,0,4,0
"366",160,1954,0,1,3,1
"367",165,1954,0,0,4,0
"368",200,1954,0,0,4,0
"369",205,1954,0,0,4,0
"370",210,1954,0,0,4,0
"371",211,1954,0,0,4,0
"372",212,1954,0,0,4,0
"373",220,1954,0,0,4,0
